MILL_CD,MPNO,BOM_SEQ,CPNO,JUST_QTY,REAL_QTY,LOSS_RATE,START_DATE,STOP_DATE,WRK_GBN,OUT_GBN,USE_YN,ERP_UPD_TIME,ADDYMD,ADDMAN,UPDYMD,UPDMAN,ROUTCD,COST_YN,SCRAP,NATURAL,REPLACE_YN,REPLACE_PNO,SKIP_YN
1000,45264-3D000-O2,2,MF650005-1(24구압입용),1,1,,2021-10-15,,,,1,,2021-10-15 15:15:36,170524,2021-10-15 15:17:14,170524,,0,,,0,,1
1000,45264-3D000-T1,5,45264-3D000-B1,1,1,,2021-10-15,,,,1,,2021-10-15 15:15:56,170524,2021-11-26 14:13:11,170524,,0,,,0,,1
1000,45264-3D000-B1,1,45264-3D000-R1,1,1,,2021-10-15,,,,1,,2021-10-15 15:16:07,170524,2021-11-26 14:13:11,170524,,0,,,0,,1
1000,45264-3D000-R1,1,45264-3D000-O1,1,1,,2021-10-15,,,,1,,2021-10-15 15:16:19,170524,2021-11-26 14:13:11,170524,,0,,,0,,1
1000,45264-3D000-O1,1,45264-3D000-P1,1,1,,2021-10-15,,,,1,,2021-10-15 15:16:29,170524,2021-11-26 14:13:11,170524,,0,,,0,,1
1000,45264-3D000-P1,1,45264-3D000-C1,1,1,,2021-10-15,,,,1,,2021-10-15 15:16:37,170524,2021-10-15 15:17:14,170524,,0,,,0,,1
1000,45264-3D000-O1,2,MF650005-1(24구압입용),1,1,,2021-10-15,,,,1,,2021-10-15 15:16:47,170524,2021-10-15 15:17:14,170524,,0,,,0,,1
1000,45264-02440,1,45264-02440-L1,1,1,,2021-10-15,,,,1,,2021-10-15 15:18:20,170524,2021-11-26 14:12:25,170524,,0,,,0,,1
1000,45264-02440-L1,1,45264-02440-D1,1,1,,2021-10-15,,,,1,,2021-10-15 15:18:27,170524,2021-10-15 15:22:07,170524,,0,,,0,,1
1000,45264-02440-D1,1,45264-02440-T1,1,1,,2021-10-15,,,,1,,2021-10-15 15:18:36,170524,2021-10-15 15:22:07,170524,,0,,,0,,1
1000,45264-02440-T1,1,45264-02440-B2,1,1,,2021-10-15,,,,1,,2021-10-15 15:18:45,170524,2021-10-15 15:22:07,170524,,0,,,0,,1
1000,45264-02440-B2,1,45264-02440-R2,1,1,,2021-10-15,,,,1,,2021-10-15 15:19:01,170524,2021-11-26 14:12:25,170524,,0,,,0,,1
1000,45264-02440-R2,1,45264-02440-O2,1,1,,2021-10-15,,,,1,,2021-10-15 15:19:09,170524,2021-11-26 14:12:25,170524,,0,,,0,,1
1000,45264-02440-P2,1,45264-02440-C2,1,1,,2021-10-15,,,,1,,2021-10-15 15:20:03,170524,2021-10-15 15:22:07,170524,,0,,,0,,1
1000,45264-02440-O2,1,45264-02440-P2,1,1,,2021-10-15,,,,1,,2021-10-15 15:19:32,170524,2021-11-26 14:12:25,170524,,0,,,0,,1
1000,25451-07701-S1,1,25451-07701-B2,1,1,,2021-10-15,,,,1,,2021-10-15 18:01:37,170524,2021-10-15 18:04:56,170524,,0,,,0,,1
1000,25451-07701-B2,1,25451-07701-C2,1,1,,2021-10-15,,,,1,,2021-10-15 18:01:54,170524,2021-10-15 18:04:56,170524,,0,,,0,,1
1000,25451-07701-S1,2,25451-07701-Q1,1,1,,2021-10-15,,,,1,,2021-10-15 18:02:05,170524,2021-10-15 18:04:56,170524,,0,,,0,,1
1000,25451-07701-Q1,1,25451-07701-C1,1,1,,2021-10-15,,,,1,,2021-10-15 18:02:15,170524,2021-10-15 18:04:56,170524,,0,,,0,,1
1000,25451-07701-S1,3,25451-07701-6-P1,1,1,,2021-10-15,,,,1,,2021-10-15 18:02:30,170524,2021-10-15 18:04:56,170524,,0,,,0,,1
1000,25451-07701-S1,4,25451-07850-5,1,1,,2021-10-15,,,,1,,2021-10-15 18:02:51,170524,2021-10-15 18:04:56,170524,,0,,,0,,1
1000,25451-07701-S1,5,25451-07701-4,1,1,,2021-10-15,,,,1,,2021-10-15 18:02:59,170524,2021-10-15 18:04:56,170524,,0,,,0,,1
1000,25451-07701-S1,6,25451-07850-7,1,1,,2021-10-15,,,,1,,2021-10-15 18:03:10,170524,2021-10-15 18:04:56,170524,,0,,,0,,1
1000,25450-07701,3,S2545207801,1,1,,2021-10-15,,,,1,,2021-10-15 18:03:53,170524,2021-10-15 18:04:56,170524,,0,,,0,,1
1000,25450-07701,4,25474-2M000,1,1,,2021-10-15,,,,1,,2021-10-15 18:03:59,170524,2021-10-15 18:04:56,170524,,0,,,0,,1
1000,S254523A6403,1,S25452-3A640-3-L1,1,1,,2021-11-01,,,,1,,2021-11-01 15:39:27,170524,2021-11-26 14:14:26,170524,,0,,,0,,1
1000,S25452-3A640-3-L1,1,S25452-3A640-3-T1,1,1,,2021-11-01,,,,1,,2021-11-01 15:39:32,170524,2021-11-01 15:40:33,170524,,0,,,0,,1
1000,45264-02430-G1,1,45264-02430-B1,1,1,,2024-08-19,,,,1,,2024-08-19 16:45:19,170524,2024-08-19 16:46:11,170524,,0,,,0,,1
1000,S25452-3A600-3-1-B1,1,S25452-3A600-3-1-P1,1,1,,2021-11-01,,,,1,,2021-11-01 15:39:54,170524,2022-07-22 11:40:35,170524,,0,,,0,,0
1000,S25452-3A640-3-T1,2,S25452-3A600-7,1,1,,2021-11-01,,,,1,,2021-11-01 15:40:09,170524,2021-11-01 15:40:33,170524,,0,,,0,,1
1000,S25452-3A640-3-T1,3,S25452-3A600-10,1,1,,2021-11-01,,,,1,,2021-11-01 15:40:23,170524,2021-11-01 15:40:33,170524,,0,,,0,,1
1000,25431427002,1,25431-42700-2-B1,1,1,,2021-11-01,,,,1,,2021-11-01 15:41:04,170524,2021-12-02 13:49:21,170524,,0,,,0,,0
1000,25431-42700-2-B1,1,25431-42700-2-P1,1,1,,2021-11-01,,,,1,,2021-11-01 15:41:09,170524,2021-11-26 13:52:40,170524,,0,,,0,,1
1000,25431-42700-2-P1,1,25431-42700-2-C1,1,1,,2021-11-01,,,,1,,2021-11-01 15:41:13,170524,2025-05-27 16:31:03,181129,,0,,,0,,0
1000,25431429102,1,25431-42910-2-B1,1,1,,2021-11-01,,,,1,,2021-11-01 15:41:31,170524,2021-12-02 13:49:33,170524,,0,,,0,,0
1000,25431-42910-2-B1,1,25431-42910-2-P1,1,1,,2021-11-01,,,,1,,2021-11-01 15:41:37,170524,2021-11-26 13:52:50,170524,,0,,,0,,1
1000,25431-42910-2-P1,1,25431-42910-2-C1,1,1,,2021-11-01,,,,1,,2021-11-01 15:41:43,170524,2021-11-01 15:41:49,170524,,0,,,0,,1
1000,25481398002,1,25481-39800-2-B1,1,1,,2021-11-01,,,,1,,2021-11-01 15:42:04,170524,2021-11-26 13:54:59,170524,,0,,,0,,1
1000,25481-39800-2-B1,1,25481-39800-2-P1,1,1,,2021-11-01,,,,1,,2021-11-01 15:42:08,170524,2021-11-26 13:54:59,170524,,0,,,0,,1
1000,25481-39800-2-P1,1,25481-39800-2-C1,1,1,,2021-11-01,,,,1,,2021-11-01 15:42:13,170524,2021-11-01 15:42:18,170524,,0,,,0,,1
1000,25431426001,1,25431-42600-1-B1,1,1,,2021-11-01,,,,1,,2021-11-01 15:42:30,170524,2021-12-02 13:49:17,170524,,0,,,0,,0
1000,25431-42600-1-B1,1,25431-42600-1-P1,1,1,,2021-11-01,,,,1,,2021-11-01 15:42:39,170524,2021-11-26 13:52:36,170524,,0,,,0,,1
1000,25431-42600-1-P1,1,25431-42600-1-C1,1,1,,2021-11-01,,,,1,,2021-11-01 15:42:43,170524,2021-11-01 15:42:46,170524,,0,,,0,,1
1000,25431425405,1,25431-42540-5-B1,1,1,,2021-11-01,,,,1,,2021-11-01 15:42:55,170524,2021-12-02 13:49:13,170524,,0,,,0,,0
1000,25431-42540-5-B1,1,25431-42540-5-P1,1,1,,2021-11-01,,,,1,,2021-11-01 15:42:59,170524,2021-11-26 13:52:33,170524,,0,,,0,,1
1000,25431-42540-5-P1,1,25431-42540-5-C1,1,1,,2021-11-01,,,,1,,2021-11-01 15:43:05,170524,2021-11-01 15:43:07,170524,,0,,,0,,1
1000,25431425208,1,25431-42520-8-B1,1,1,,2021-11-01,,,,1,,2021-11-01 15:43:16,170524,2021-12-02 13:49:10,170524,,0,,,0,,0
1000,25431-42520-8-B1,1,25431-42520-8-P1,1,1,,2021-11-01,,,,1,,2021-11-01 15:43:24,170524,2021-11-26 13:52:30,170524,,0,,,0,,1
1000,25431-42520-8-P1,1,25431-42520-8-C1,1,1,,2021-11-01,,,,1,,2021-11-01 15:43:30,170524,2021-11-01 15:43:32,170524,,0,,,0,,1
1000,25431427202,1,25431-42720-2-B1,1,1,,2021-11-01,,,,1,,2021-11-01 15:43:42,170524,2021-12-02 13:49:24,170524,,0,,,0,,0
1000,25431-42720-2-B1,1,25431-42720-2-P1,1,1,,2021-11-01,,,,1,,2021-11-01 15:43:47,170524,2021-11-26 13:52:43,170524,,0,,,0,,1
1000,25431-42720-2-P1,1,25431-42720-2-C1,1,1,,2021-11-01,,,,1,,2021-11-01 15:43:52,170524,2025-05-27 16:30:03,181129,,0,,,0,,0
1000,25431428506,1,25431-42850-6-B1,1,1,,2021-11-01,,,,1,,2021-11-01 15:44:03,170524,2021-12-02 13:49:29,170524,,0,,,0,,0
1000,25431-42850-6-B1,1,25431-42850-6-P1,1,1,,2021-11-01,,,,1,,2021-11-01 15:44:08,170524,2021-11-26 13:52:46,170524,,0,,,0,,1
1000,25431-42850-6-P1,1,25431-42850-6-C1,1,1,,2021-11-01,,,,1,,2021-11-01 15:44:12,170524,2021-11-01 15:44:15,170524,,0,,,0,,1
1000,31045M2XX0,1,31045-M2XX0-B1,1,1,,2021-11-01,,,,1,,2021-11-01 15:44:58,170524,2021-12-01 17:43:08,170524,,0,,,0,,0
1000,31045-M2XX0-B1,1,31045-M2XX0-P1,1,1,,2021-11-01,,,,1,,2021-11-01 15:45:03,170524,2021-11-26 14:10:34,170524,,0,,,0,,1
1000,25076-43300-D1,1,25076-43300-B1,1,1,,2021-11-01,,,,1,,2021-11-01 15:45:35,170524,2021-11-01 15:45:45,170524,,0,,,0,,1
1000,25076-43300-B1,1,25076-43300-C1,1,1,,2021-11-01,,,,1,,2021-11-01 15:45:39,170524,2021-11-01 15:45:45,170524,,0,,,0,,1
1000,38131-84300,1,38131-84300-L2,1,1,,2021-11-01,,,,1,,2021-11-01 15:46:20,170524,2021-11-26 14:11:10,170524,,0,,,0,,1
1000,38131-84300-L2,1,38131-84300-D1,1,1,,2021-11-01,,,,1,,2021-11-01 15:46:26,170524,2021-11-01 15:51:27,170524,,0,,,0,,1
1000,38131-84300-D1,1,38131-84300-L1,1,1,,2021-11-01,,,,1,,2021-11-01 15:46:30,170524,2022-01-25 11:45:40,170524,,0,,,0,,1
1000,38131-84300-L1,1,38131-84300-T1,1,1,,2021-11-01,,,,1,,2021-11-01 15:46:38,170524,2021-11-01 15:51:27,170524,,0,,,0,,1
1000,45264-02430-G1,2,28240-2F000-6,2,2,,2024-08-19,,,,1,,2024-08-19 16:45:50,170524,2026-06-26 09:47:34,170524,,0,,,0,,1
1000,38131-84300-R1,1,38131-84300-G1,1,1,,2021-11-01,,,,1,,2021-11-01 15:46:52,170524,2021-11-01 15:51:27,170524,,0,,,0,,1
1000,38131-84300-G1,1,38131-84300-C2,1,1,,2021-11-01,,,,1,,2021-11-01 15:47:29,170524,2021-11-01 15:51:27,170524,,0,,,0,,1
1000,38131-84300-G1,4,38600-84301,2,2,,2021-11-01,,,,1,,2021-11-01 15:49:32,170524,2021-11-01 15:51:27,170524,,0,,,0,,1
1000,38131-84300-B1,1,38131-84300-C1,1,1,,2021-11-01,,,,1,,2021-11-01 15:49:53,170524,2021-11-01 15:51:27,170524,,0,,,0,,1
1000,31303-84200,1,31303-84200-L1,1,1,,2021-11-01,,,,1,,2021-11-01 15:51:43,170524,2021-11-26 14:10:41,170524,,0,,,0,,1
1000,31303-84200-L1,1,31303-84200-D1,1,1,,2021-11-01,,,,1,,2021-11-01 15:51:48,170524,2021-11-01 15:54:27,170524,,0,,,0,,1
1000,25471-4CC00,1,25470-4CC00-D1,1,1,,2024-08-22,,,,1,,2024-08-22 09:12:07,170524,2024-08-22 09:12:33,170524,,0,,,0,,1
1000,28235-2B700-K2,3,28250-2G400-1,1,1,,2024-09-30,,,,1,,2024-09-30 20:07:49,170524,2024-09-30 20:08:41,170524,,0,,,0,,1
1000,28235-2B700-K3,2,28250-2G400-1,1,1,,2024-09-30,,,,1,,2024-09-30 20:08:33,170524,2024-09-30 20:08:41,170524,,0,,,0,,1
1000,31303-84200-O1,1,31303-84200-P1,1,1,,2021-11-01,,,,1,,2021-11-01 15:52:19,170524,2024-11-26 16:11:32,181129,,0,,,0,,0
1000,31303-84200-P1,1,31303-84200-C1,1,1,,2021-11-01,,,,1,,2021-11-01 15:52:24,170524,2024-11-26 16:11:32,181129,,0,,,0,,0
1000,38600-52530-G1,1,38600-52530-B4,1,1,,2021-11-01,,,,1,,2021-11-01 15:55:27,170524,2021-11-01 15:58:45,170524,,0,,,0,,1
1000,38600-52530-T1,1,38600-52530-R1,1,1,,2021-11-01,,,,1,,2021-11-01 15:55:12,170524,2021-11-01 15:58:45,170524,,0,,,0,,1
1000,38600-52530-R1,1,38600-52530-G1,1,1,,2021-11-01,,,,1,,2021-11-01 15:55:19,170524,2021-11-01 15:58:45,170524,,0,,,0,,1
1000,38600-52530-G1,2,38600-52530-B5,1,1,,2021-11-01,,,,1,,2021-11-01 15:55:32,170524,2021-11-01 15:58:45,170524,,0,,,0,,1
1000,38600-52530-G1,7,3811452500,1,1,,2021-11-01,,,,1,,2021-11-01 15:57:45,170524,2021-11-01 15:58:45,170524,,0,,,0,,1
1000,38600-52530-G1,9,38600-52530-2,2,2,,2021-11-01,,,,1,,2021-11-01 15:58:03,170524,2021-11-01 15:58:45,170524,,0,,,0,,1
1000,38600-52530-G1,5,1522815000,1,1,,2021-11-01,,,,1,,2021-11-01 15:56:53,170524,2021-11-01 15:58:45,170524,,0,,,0,,1
1000,38600-52530-G1,6,1522024151,1,1,,2021-11-01,,,,1,,2021-11-01 15:56:59,170524,2021-11-01 15:58:45,170524,,0,,,0,,1
1000,25450-07260,5,25475-2M000,1,1,,2024-01-16,,,,1,,2024-01-16 13:56:38,170524,2024-01-16 13:56:41,170524,,0,,,0,,1
1000,38600-52530-B4,1,38600-52530-C4,1,1,,2021-11-01,,,,1,,2021-11-01 15:58:12,170524,2021-11-01 15:58:45,170524,,0,,,0,,1
1000,38600-52530-B5,1,38600-52530-C5,1,1,,2021-11-01,,,,1,,2021-11-01 15:58:18,170524,2021-11-01 15:58:45,170524,,0,,,0,,1
1000,28270-5C010,1,28270-5C010-L1,1,1,,2021-11-01,,,,1,,2021-11-01 15:59:01,170524,2021-11-26 13:56:00,170524,,0,,,0,,1
1000,28270-5C010-L1,1,28270-5C010-D1,1,1,,2021-11-01,,,,1,,2021-11-01 15:59:07,170524,2021-11-01 16:00:16,170524,,0,,,0,,1
1000,28270-5C010-D1,1,28270-5C010-R1,1,1,,2021-11-01,,,,1,,2021-11-01 15:59:11,170524,2021-11-01 16:00:16,170524,,0,,,0,,1
1000,28270-5C010-R1,1,28270-5C010-G1,1,1,,2021-11-01,,,,1,,2021-11-01 15:59:17,170524,2021-11-26 13:56:00,170524,,0,,,0,,1
